Cluster,Total_distance,Parent_cluster,Child_cluster,Age,Gam,Win,Los,Poi,FG%,3P%,FT%,Tot,Ass,Tur,Ste,Blo,Per
19,11.520271300413494,5,4,0.6520438683946992,0.6540378863410243,0.30508474576272526,0.34895314057836435,7.9710867397807235,1.5350947158526012,7.607278165503303,0.13489531405717514,2.5074775672982668,1.1954137587237446,0.027916251246161927,0.3060817547357404,0.18743768693916008,0.1385842472584642
3,11.680847467473225,2,0,0.5137227304723488,0.5960591133005932,0.3251231527093137,0.2709359605911943,8.570724841659455,1.9323011963409868,7.118367346939124,0.6000000000004633,2.3321604503871605,1.0935960591136542,0.22448979591843887,0.2111189303307146,0.2294159042927184,0.7994370161857436
33,12.28789975889681,7,5,1.5249999999998707,0.0428571428571356,0.09642857142857375,0.053571428571436375,0.375,1.5382142857142682,10.323928571428699,5.752500000000009,1.1500000000000261,0.09642857142856931,0.6464285714285629,0.3285714285714241,0.19285714285714295,2.139285714285727
25,12.298156797081699,6,4,1.5496453900707543,0.007092198581565512,0.060283687943258,0.05319148936169604,0.36524822695036896,1.4641843971632795,10.357092198581729,5.711702127659576,1.1560283687943125,0.10283687943262887,0.6702127659574451,0.3439716312056731,0.20567375886524963,2.170212765957453
20,12.338546296679345,5,5,1.4175438596492178,0.08421052631577997,0.07368421052631713,0.01052631578946528,0.5192982456140864,1.701052631578932,10.002105263158025,6.392280701754367,1.077192982456153,0.03508771929823462,0.614035087719291,0.3368421052631517,0.19298245614035459,2.1122807017543677
15,12.52159820805548,5,0,0.22745098039198197,0.5921568627451794,0.46078431372551965,0.13137254901961537,10.872549019608314,1.6368627450979574,4.558823529411967,0.23372549019634903,2.5176470588233073,1.4450980392157327,0.8000000000001215,0.1921568627450343,0.3411764705882243,2.2823529411763204
12,12.529016831440684,4,2,0.23962264150941692,0.5811320754717197,0.4037735849056201,0.17735849056602238,10.81132075471595,1.5332075471698445,4.754150943396155,0.1992452830192093,2.3566037735846663,1.586792452830192,0.7924528301885267,0.1528301886792196,0.3000000000000025,2.3867924528300115
46,12.62016240973801,9,1,1.4664179104476887,0.011194029850753573,0.11567164179104283,0.10447761194029725,0.376865671641859,1.2082089552238955,10.858955223880695,5.55559701492537,1.1156716417910744,0.07462686567164489,0.6641791044776197,0.33955223880596697,0.20149253731343242,2.2052238805970257
28,13.168452436022438,7,0,0.30731707317085366,0.6853658536584408,0.43902439024394724,0.2463414634146055,10.578048780487762,1.6621951219511644,6.497560975609627,0.6465853658535252,2.048780487805189,1.5170731707318978,1.1560975609755388,0.12682926829267505,0.3390243902438854,2.70731707317087
32,13.194792695142795,7,4,0.7664359861591912,0.7352941176469834,0.3200692041522528,0.4152249134947916,7.961937716263225,0.24359861591709375,9.751384083045114,0.27318339100327194,3.074394463667584,1.987889273356366,0.5017301038061932,0.5622837370242406,0.07266435986161524,0.3269896193770201
