Age,GamesPlayed,Wins,Losses,PointsScored,FG%,3P%,FT%,TotalRebounds,Assists,Turnovers,Steals,Blocks,PersonalFouls
30,7,3,4,60,41.2,44.4,93.3,20,9,5,6,3,19
23,7,3,4,59,55.3,0.0,81.0,37,2,7,1,3,20
32,10,4,6,59,47.8,36.8,53.3,41,17,10,10,6,17
40,10,6,4,59,42.3,0.0,71.4,48,14,10,2,13,18
35,10,6,4,58,45.5,50.0,55.6,37,13,7,6,7,19
23,4,0,4,58,45.7,33.3,92.3,38,12,6,3,3,11
29,7,3,4,57,50.0,0.0,60.0,36,8,14,5,6,25
25,6,2,4,57,27.8,24.4,63.6,39,13,7,9,3,17
27,5,1,4,57,37.8,27.3,85.0,18,10,8,2,0,6
26,4,0,4,57,45.5,16.7,100.0,13,37,10,6,2,10
29,6,2,4,55,47.8,31.8,80.0,41,10,5,2,4,15
25,7,3,4,54,45.2,57.9,93.8,28,8,3,2,0,20
25,4,0,4,52,52.3,40.0,80.0,6,7,3,1,0,10
27,5,1,4,52,47.8,33.3,85.7,21,3,7,1,0,8
34,4,0,4,52,37.1,0.0,85.7,35,7,7,1,0,10
29,6,2,4,51,66.7,0.0,77.8,43,4,10,1,8,13
23,7,3,4,50,30.4,29.4,81.0,30,8,2,6,5,15
34,9,6,3,47,45.7,33.3,75.0,19,21,6,2,4,9
22,5,1,4,47,45.9,30.8,64.3,20,7,5,4,3,12
39,4,0,4,45,45.5,70.0,100.0,15,5,3,2,1,9
25,5,1,4,44,43.2,44.4,47.1,26,5,12,4,2,11
30,7,3,4,44,39.5,50.0,55.6,15,14,6,4,1,9
36,4,0,4,43,34.8,16.7,80.0,29,11,13,4,1,13
30,12,5,7,40,32.7,28.6,80.0,17,1,2,4,1,14
32,16,10,6,40,34.1,30.8,100.0,20,13,11,2,3,18
33,5,1,4,39,50.0,30.8,50.0,14,8,3,3,0,16
29,10,5,5,38,47.1,0.0,100.0,26,9,4,5,5,20
30,14,8,6,37,45.8,35.7,100.0,2,1,4,1,0,5
31,4,1,3,37,46.4,50.0,100.0,24,4,2,2,5,9
30,7,3,4,36,27.5,35.3,50.0,48,6,2,6,3,11
38,5,1,4,35,34.2,31.6,100.0,11,6,3,2,1,13
31,5,1,4,33,25.5,14.3,75.0,21,4,12,13,1,16
32,5,1,4,33,37.5,0.0,88.2,27,16,2,3,1,13
20,4,0,4,32,52.2,60.0,100.0,16,0,3,1,0,10
24,6,2,4,31,31.0,50.0,75.0,27,7,6,1,0,16
33,9,4,5,30,57.9,0.0,100.0,13,0,9,5,3,14
30,20,14,6,601,41.7,22.7,73.1,226,169,82,33,21,58
27,21,16,5,594,45.6,42.2,83.5,105,134,82,39,3,47
25,17,9,8,462,43.9,38.3,91.6,97,128,77,28,7,49
25,21,16,5,391,44.6,39.0,80.0,81,54,41,16,19,64
26,14,7,7,357,51.1,14.3,71.7,178,86,45,14,14,43
25,21,16,5,288,41.7,26.4,73.6,212,109,58,38,25,89
29,17,9,8,278,57.7,0.0,41.2,238,20,37,23,39,60
25,12,6,6,275,44.1,38.9,81.9,67,38,21,29,9,27
27,16,8,8,269,41.0,32.3,86.7,51,107,43,24,7,34
30,12,6,6,265,50.3,41.5,94.1,53,105,26,22,3,37
23,13,10,3,247,43.8,45.0,84.1,47,50,20,17,11,29
26,12,6,6,244,39.6,34.8,89.7,58,78,38,14,6,22
30,16,8,8,243,40.7,30.6,74.4,139,55,34,25,14,52
22,10,6,4,234,40.5,36.5,83.1,55,46,26,16,7,19
28,16,8,8,233,48.6,40.3,78.0,97,32,15,18,5,36
29,16,8,8,231,50.7,22.2,75.0,138,59,25,13,23,34
29,18,13,5,231,40.3,35.9,70.0,85,22,15,17,10,54
29,17,9,8,229,43.8,38.0,43.2,96,46,38,9,17,41
29,17,9,8,224,42.6,37.5,90.5,109,44,23,30,2,51
23,21,16,5,223,44.0,35.5,73.5,110,32,22,17,11,45
31,21,16,5,218,47.4,35.4,41.5,94,75,14,25,7,42
30,11,6,5,217,39.4,0.0,85.2,113,49,16,10,19,33
28,20,14,6,212,50.0,0.0,79.0,146,13,37,8,36,57
31,14,7,7,208,43.5,39.8,94.3,30,24,26,10,5,36
24,20,14,6,192,55.8,0.0,58.5,216,9,15,5,24,50
29,17,9,8,191,43.1,28.6,63.6,47,19,15,11,4,48
26,14,7,7,183,71.6,0.0,42.7,187,16,17,16,33,42
25,20,14,6,181,36.0,35.5,75.0,98,23,13,25,16,50
35,14,7,7,178,36.0,24.3,86.7,30,27,17,13,3,34
23,17,9,8,173,42.1,15.8,66.7,81,17,16,8,12,31
33,11,6,5,172,42.3,20.0,87.9,93,23,23,6,0,37
37,17,9,8,156,42.5,35.4,81.3,38,48,20,15,2,46
34,14,8,6,156,39.1,35.5,81.3,70,33,21,20,15,27
29,11,6,5,146,55.0,46.7,95.7,28,24,13,12,0,24
37,10,6,4,146,48.5,52.4,85.0,42,9,10,6,7,33
21,16,8,8,144,38.6,23.5,85.7,29,62,27,9,0,28
34,10,6,4,144,48.7,0.0,76.2,94,31,21,5,21,18
24,20,14,6,143,34.6,31.6,78.1,41,53,35,9,0,52
24,7,3,4,142,47.7,42.3,77.1,52,18,15,8,4,18
34,12,6,6,131,48.9,48.2,94.7,48,31,15,10,5,31
29,5,1,4,130,46.8,36.7,75.0,16,26,16,10,3,18
22,4,0,4,126,54.0,0.0,88.9,44,8,13,5,12,12
39,7,3,4,125,58.9,0.0,55.9,78,23,7,9,10,26
31,10,6,4,124,62.8,0.0,66.7,88,22,16,6,11,29
