Age,GamesPlayed,Wins,Losses,PointsScored,FG%,3P%,FT%,TotalRebounds,Assists,Turnovers,Steals,Blocks,PersonalFouls
32,7,3,4,19,52.9,0.0,25.0,24,1,6,1,5,15
29,6,2,4,19,33.3,0.0,42.9,28,2,4,5,1,20
30,16,12,4,18,30.4,22.2,50.0,8,14,4,1,2,13
22,4,0,4,17,29.4,33.3,83.3,4,7,4,1,1,4
29,11,6,5,17,38.5,50.0,100.0,10,1,3,0,0,4
22,9,3,6,16,33.3,40.0,0.0,2,4,4,3,1,3
37,18,11,7,15,25.0,27.3,100.0,11,4,0,4,0,4
27,4,0,4,14,54.5,0.0,66.7,10,2,4,2,3,16
27,5,1,4,13,71.4,0.0,75.0,9,1,1,2,5,9
24,6,2,4,13,54.5,0.0,50.0,11,1,3,1,3,13
26,8,5,3,13,44.4,0.0,83.3,13,0,6,1,0,8
32,2,1,1,12,83.3,0.0,100.0,4,0,1,0,0,1
31,11,8,3,12,33.3,0.0,100.0,17,0,3,1,1,22
35,7,4,3,12,38.5,0.0,66.7,11,3,1,0,7,10
29,2,0,2,11,50.0,0.0,100.0,6,0,0,1,1,2
24,5,2,3,11,83.3,100.0,0.0,2,0,0,0,0,1
27,3,0,3,9,18.2,0.0,83.3,5,0,2,0,0,3
23,2,1,1,9,50.0,0.0,75.0,2,0,2,0,1,3
27,13,11,2,9,37.5,0.0,75.0,6,1,1,0,0,9
30,4,2,2,9,57.1,0.0,50.0,3,0,0,1,0,5
25,2,1,1,8,44.4,0.0,0.0,5,1,0,0,0,2
21,9,4,5,8,40.0,0.0,0.0,9,0,2,0,1,2
24,5,3,2,7,28.6,25.0,100.0,3,1,2,0,0,3
23,3,0,3,7,50.0,0.0,75.0,2,0,1,2,3,1
31,1,0,1,7,100.0,100.0,100.0,2,0,1,0,0,0
37,4,0,4,7,37.5,0.0,50.0,3,1,2,2,0,15
31,3,1,2,6,60.0,0.0,0.0,5,0,1,0,0,7
26,7,4,3,6,75.0,0.0,0.0,2,1,0,1,0,7
21,3,0,3,6,50.0,100.0,100.0,0,3,1,0,0,1
29,3,2,1,5,33.3,0.0,100.0,5,1,0,0,0,2
27,2,2,0,5,50.0,0.0,75.0,5,0,1,0,0,0
34,5,1,4,5,0.0,0.0,41.7,33,3,6,1,5,19
30,8,2,6,5,20.0,16.7,0.0,6,2,2,2,1,9
26,3,1,2,5,25.0,0.0,75.0,2,0,1,0,0,3
22,3,3,0,4,33.3,0.0,100.0,2,1,2,1,0,1
33,5,1,4,4,25.0,0.0,0.0,9,0,1,2,0,8
24,6,2,4,4,33.3,33.3,100.0,2,2,2,1,0,1
28,3,1,2,4,33.3,0.0,0.0,0,2,1,0,1,1
30,2,0,2,3,20.0,50.0,0.0,0,1,0,0,0,0
24,3,0,3,3,50.0,0.0,100.0,2,0,0,0,0,3
29,6,2,4,3,8.3,14.3,0.0,4,2,2,1,0,12
35,1,1,0,2,50.0,0.0,0.0,0,2,0,0,0,0
22,2,0,2,2,100.0,0.0,0.0,0,0,0,0,0,0
31,1,0,1,2,100.0,0.0,0.0,1,0,0,0,0,0
29,1,0,1,2,0.0,0.0,100.0,0,0,1,0,0,1
24,1,0,1,2,25.0,0.0,0.0,2,2,0,0,0,2
29,1,1,0,2,100.0,0.0,0.0,1,0,0,0,0,0
24,6,3,3,2,16.7,0.0,0.0,1,0,1,0,0,0
21,1,1,0,1,0.0,0.0,50.0,0,0,0,0,0,0
35,1,0,1,0,0.0,0.0,0.0,0,3,0,0,0,0
32,1,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0
31,3,2,1,0,0.0,0.0,0.0,0,0,0,0,0,2
25,2,0,2,0,0.0,0.0,0.0,3,0,0,0,0,0
29,2,2,0,0,0.0,0.0,0.0,0,0,0,0,0,2
32,1,0,1,0,0.0,0.0,0.0,1,0,1,0,0,1
23,4,1,3,0,0.0,0.0,0.0,1,1,2,0,0,11
27,3,2,1,0,0.0,0.0,0.0,0,0,0,0,0,1
34,5,2,3,0,0.0,0.0,0.0,2,0,1,0,1,1
37,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
32,4,2,2,0,0.0,0.0,0.0,3,0,0,1,0,2
28,2,0,2,0,0.0,0.0,0.0,0,1,1,1,0,1
28,2,0,2,0,0.0,0.0,0.0,0,2,0,0,0,0
30,23,16,7,695,45.7,34.9,88.3,123,126,59,38,21,59
24,14,10,4,494,51.0,33.3,74.9,128,102,38,23,12,30
23,23,12,11,467,60.1,0.0,63.6,353,43,67,20,60,102
29,24,13,11,455,44.8,39.4,78.4,153,70,50,25,13,50
25,16,10,6,435,45.3,36.4,82.6,93,65,37,28,10,60
28,23,16,7,420,58.0,0.0,71.4,249,58,44,19,45,69
30,24,13,11,378,42.7,38.6,81.7,109,116,64,18,4,80
32,16,10,6,330,45.7,46.8,90.6,61,109,31,20,4,38
31,14,7,7,294,43.0,33.3,84.2,81,43,33,15,5,44
29,23,16,7,283,52.4,51.4,61.3,210,42,39,16,31,75
32,23,12,11,281,38.0,31.9,75.0,56,94,40,33,4,53
31,10,5,5,268,51.8,28.6,92.5,101,31,23,9,8,21
24,23,16,7,260,49.7,47.6,56.3,97,54,38,36,10,73
33,14,7,7,256,40.3,35.0,94.8,55,37,25,15,5,35
27,24,13,11,252,48.3,38.5,72.3,62,14,22,18,13,77
23,16,10,6,239,45.4,35.8,54.3,53,45,26,17,4,51
23,14,7,7,236,41.7,25.0,65.7,136,137,38,35,3,47
26,14,10,4,228,40.8,37.2,76.7,45,58,30,10,1,43
23,14,7,7,221,49.1,0.0,71.0,79,25,20,18,8,59
24,13,7,6,218,45.3,42.2,80.4,34,44,29,5,3,29
